DEPT,GR,ILD,DPHI,NPHI,SitID,Pick,Formation
398.5,91.399,4.93,0.164,0.297,107396,0,4000
398.75,91.647,5.029,0.177,0.322,107396,0,4000
399.0,78.552,4.641,0.176,0.34,107396,0,4000
399.25,55.279,4.172,0.197,0.327,107396,0,4000
399.5,41.626,3.511,0.248,0.323,107396,0,4000
399.75,31.758,3.173,0.276,0.358,107396,0,4000
400.0,29.586,2.912,0.278,0.399,107396,0,4000
400.25,41.501,2.882,0.263,0.427,107396,0,4000
400.5,66.325,2.985,0.249,0.397,107396,0,4000
400.75,85.626,3.056,0.231,0.355,107396,0,4000
401.0,101.389,3.059,0.233,0.35,107396,0,4000
401.25,83.453,3.004,0.245,0.39,107396,0,4000
401.5,52.671,2.946,0.258,0.41,107396,0,4000
401.75,53.974,2.927,0.267,0.417,107396,0,4000
402.0,50.623,2.951,0.274,0.412,107396,0,4000
402.25,55.711,3.068,0.28,0.399,107396,0,4000
402.5,68.123,3.336,0.261,0.39,107396,0,4000
402.75,73.212,3.588,0.239,0.371,107396,0,4000
403.0,76.253,3.808,0.232,0.345,107396,0,4000
403.25,74.391,3.965,0.231,0.314,107396,0,4000
403.5,74.08,4.161,0.22,0.33,107396,0,4000
403.75,79.541,4.366,0.211,0.327,107396,0,4000
404.0,89.036,4.496,0.202,0.309,107396,0,4000
404.25,91.581,4.466,0.192,0.278,107396,0,4000
404.5,84.568,4.462,0.197,0.338,107396,0,4000
404.75,75.631,4.35,0.233,0.363,107396,0,4000
405.0,67.563,4.169,0.254,0.353,107396,0,4000
405.25,86.367,3.862,0.24,0.339,107396,0,4000
405.5,101.137,3.445,0.23,0.376,107396,0,4000
405.75,103.557,3.174,0.221,0.424,107396,0,4000
406.0,100.578,2.968,0.21,0.528,107396,0,4000
406.25,104.053,2.829,0.196,0.523,107396,0,4000
406.5,108.025,2.805,0.193,0.493,107396,0,4000
406.75,103.556,2.845,0.181,0.453,107396,0,4000
407.0,98.467,2.946,0.169,0.46,107396,0,4000
407.25,111.127,3.198,0.206,0.454,107396,0,4000
407.5,122.856,3.558,0.229,0.433,107396,0,4000
407.75,130.676,3.929,0.214,0.39,107396,0,4000
408.0,114.912,4.314,0.197,0.369,107396,0,4000
408.25,109.699,4.638,0.195,0.348,107396,0,4000
408.5,114.477,4.785,0.188,0.362,107396,0,4000
408.75,113.608,4.691,0.177,0.419,107396,0,4000
409.0,113.918,4.488,0.165,0.401,107396,0,4000
409.25,118.945,4.277,0.187,0.411,107396,0,4000
409.5,97.844,4.139,0.243,0.45,107396,0,4000
409.75,84.129,4.035,0.273,0.466,107396,0,4000
410.0,73.516,4.039,0.297,0.46,107396,0,4000
410.25,67.93,4.073,0.293,0.443,107396,0,4000
410.5,67.93,4.163,0.282,0.417,107396,0,4000
410.75,70.475,4.277,0.269,0.392,107396,0,4000
411.0,73.019,4.421,0.246,0.381,107396,0,4000
411.25,77.425,4.544,0.196,0.413,107396,0,4000
411.5,85.865,4.653,0.169,0.434,107396,0,4000
411.75,92.381,4.746,0.18,0.438,107396,0,4000
412.0,89.029,4.878,0.216,0.45,107396,0,4000
412.25,85.616,4.947,0.233,0.463,107396,0,4000
412.5,77.3,5.027,0.246,0.469,107396,0,4000
412.75,76.182,5.09,0.245,0.462,107396,0,4000
413.0,80.216,5.133,0.235,0.449,107396,0,4000
413.25,90.27,5.157,0.211,0.457,107396,0,4000
413.5,88.408,5.23,0.186,0.452,107396,0,4000
413.75,85.367,5.255,0.194,0.444,107396,0,4000
414.0,89.152,5.3,0.205,0.409,107396,0,4000
414.25,93.868,5.023,0.217,0.386,107396,0,4000
414.5,84.435,4.795,0.229,0.364,107396,0,4000
414.75,83.256,4.587,0.228,0.342,107396,0,4000
415.0,91.634,4.557,0.219,0.389,107396,0,4000
415.25,97.219,4.578,0.215,0.472,107396,0,4000
415.5,96.908,4.741,0.213,0.459,107396,0,4000
415.75,89.088,4.928,0.213,0.411,107396,0,4000
416.0,84.93,5.008,0.216,0.384,107396,0,4000
416.25,87.971,4.994,0.222,0.387,107396,0,4000
416.5,92.936,4.952,0.228,0.42,107396,0,4000
416.75,98.707,4.901,0.226,0.434,107396,0,4000
417.0,106.216,4.833,0.213,0.405,107396,0,4000
417.25,114.47,4.782,0.198,0.401,107396,0,4000
417.5,119.993,4.742,0.193,0.432,107396,0,4000
417.75,92.5,4.755,0.211,0.456,107396,0,4000
