DEPT,GR,ILD,DPHI,SitID,Pick
59.5,72.351,8.82,0.305,116437,0
59.8,69.28,7.561,0.268,116437,0
60.1,67.452,7.273,0.249,116437,0
60.4,69.356,7.844,0.227,116437,0
60.7,72.513,9.131,0.274,116437,0
61.0,73.799,10.431,0.297,116437,0
61.3,71.348,12.144,0.322,116437,0
61.6,66.413,10.817,0.322,116437,0
61.9,63.965,8.594,0.292,116437,0
62.2,65.864,6.96,0.28,116437,0
62.5,77.726,5.856,0.282,116437,0
62.8,87.11,5.218,0.256,116437,0
63.1,89.026,4.83,0.263,116437,0
63.4,87.812,4.919,0.264,116437,0
63.7,84.741,5.512,0.279,116437,0
64.0,84.162,5.945,0.284,116437,0
64.3,84.828,6.054,0.278,116437,0
64.6,83.616,6.406,0.299,116437,0
64.9,79.921,8.362,0.268,116437,0
65.2,73.124,10.116,0.295,116437,0
65.5,69.428,12.234,0.281,116437,0
65.8,68.219,13.196,0.31,116437,0
66.1,70.122,10.892,0.302,116437,0
66.4,72.036,9.517,0.302,116437,0
66.7,68.959,9.155,0.263,116437,0
67.0,64.649,9.148,0.217,116437,0
67.3,68.441,10.856,0.171,116437,0
67.6,70.332,13.904,0.241,116437,0
67.9,72.247,17.474,0.277,116437,0
68.2,70.424,23.252,0.244,116437,0
68.5,66.711,20.713,0.179,116437,0
68.8,51.819,18.107,0.045,116437,0
69.1,56.221,16.135,0.052,116437,0
69.4,66.856,13.316,0.121,116437,0
69.7,68.129,12.094,0.315,116437,0
70.0,68.8,11.856,0.292,116437,0
70.3,66.954,11.621,0.302,116437,0
70.6,71.358,12.064,0.302,116437,0
70.9,73.269,12.286,0.294,116437,0
71.2,70.81,11.818,0.266,116437,0
71.5,68.368,12.741,0.225,116437,0
71.8,74.016,12.735,0.169,116437,0
72.1,74.05,12.247,0.271,116437,0
72.4,70.364,12.236,0.266,116437,0
72.7,71.022,12.227,0.302,116437,0
73.0,72.3,10.287,0.314,116437,0
73.3,69.856,8.172,0.309,116437,0
73.6,66.784,7.144,0.254,116437,0
73.9,69.323,6.74,0.18,116437,0
74.2,75.587,7.268,0.173,116437,0
74.5,80.611,7.403,0.286,116437,0
74.8,78.782,6.853,0.311,116437,0
75.1,78.194,6.106,0.286,116437,0
75.4,81.966,5.039,0.251,116437,0
75.7,85.114,4.49,0.251,116437,0
76.0,83.907,4.237,0.286,116437,0
76.3,80.229,4.314,0.272,116437,0
76.6,82.139,4.564,0.298,116437,0
76.9,82.799,5.019,0.299,116437,0
77.2,80.337,6.071,0.322,116437,0
77.5,77.885,7.341,0.294,116437,0
77.8,78.571,8.071,0.298,116437,0
78.1,79.212,6.791,0.26,116437,0
78.4,74.282,5.499,0.305,116437,0
78.7,68.102,4.539,0.219,116437,0
79.0,65.645,3.818,0.138,116437,0
79.3,76.265,3.535,0.092,116437,0
79.6,79.428,3.272,0.234,116437,0
79.9,79.46,3.029,0.297,116437,0
80.2,83.233,2.804,0.306,116437,0
80.5,83.895,2.595,0.312,116437,0
80.8,83.32,2.496,0.302,116437,0
81.1,84.596,2.447,0.317,116437,0
81.4,89.631,2.492,0.332,116437,0
81.7,88.436,3.014,0.33,116437,0
82.0,87.832,3.86,0.329,116437,1
82.3,82.268,4.409,0.278,116437,0
82.6,81.079,5.036,0.288,116437,0
82.9,82.36,5.43,0.279,116437,0
83.2,84.26,5.53,0.284,116437,0
83.5,83.684,5.633,0.29,116437,0
83.8,81.225,6.076,0.269,116437,0
84.1,80.034,6.554,0.279,116437,0
84.4,80.073,7.205,0.271,116437,0
84.7,83.216,7.478,0.269,116437,0
85.0,84.502,7.617,0.231,116437,0
85.3,82.674,8.059,0.275,116437,0
85.6,89.56,8.692,0.291,116437,0
85.9,86.5,9.375,0.314,116437,0
86.2,82.811,10.708,0.241,116437,0
86.5,84.706,12.706,0.257,116437,0
86.8,87.242,15.367,0.262,116437,0
87.1,86.043,17.892,0.258,116437,0
87.4,81.721,14.489,0.254,116437,0
87.7,77.402,11.51,0.242,116437,0
88.0,73.081,9.499,0.222,116437,0
88.3,71.259,8.464,0.155,116437,0
88.6,75.663,7.836,0.132,116437,0
88.9,78.803,6.981,0.21,116437,0
89.2,78.847,6.462,0.271,116437,0
89.5,80.129,6.097,0.283,116437,0
89.8,82.667,5.863,0.287,116437,0
90.1,82.71,5.972,0.261,116437,0
90.4,83.365,6.441,0.294,116437,0
90.7,80.923,7.941,0.292,116437,0
91.0,82.831,9.79,0.297,116437,0
91.3,84.115,11.615,0.307,116437,0
91.6,84.16,12.059,0.308,116437,0
91.9,83.569,9.398,0.228,116437,0
92.2,79.884,7.611,0.305,116437,0
92.5,83.036,6.782,0.319,116437,0
92.8,86.18,6.042,0.313,116437,0
93.1,86.223,5.083,0.254,116437,0
